Line Name,Station Name,Evening_Train,train_number,train_actual_time,WorkDay,train_hour_24,train_late_by_min
NJ TRANSIT - NEC,New Brunswick,FALSE,7828,1127,holiday,11,20 to 40
NJ TRANSIT - NEC,Metropark,TRUE,7859,1732,holiday,17,20 to 40
NJ TRANSIT - NEC,Secaucus,FALSE,3836,1131,workday,11,20 to 40
NJ TRANSIT - NJCL,NJCL,FALSE,3217,754,workday,7,20 to 40
NJ TRANSIT - RVL,Metropark,FALSE,5718,803,workday,8,20 to 40
NJ TRANSIT - MBPJ,Ridgewood,TRUE,1274,1739,workday,17,20 to 40
NJ TRANSIT - ME,Chatham,TRUE,6639,1614,workday,16,20 to 40
NJ TRANSIT - MBPJ,Ridgewood,FALSE,1147,841,workday,8,20 to 40
NJ TRANSIT - ME,PSNY,FALSE,6670,827,workday,8,20 to 40
NJ TRANSIT - PVL,Teterboro,TRUE,1641,1952,workday,19,20 to 40
NJ TRANSIT - ME,South Orange,FALSE,312,749,workday,7,20 to 40
NJ TRANSIT - RVL,High Bridge,FALSE,5730,918,workday,9,20 to 40
NJ TRANSIT - MBPJ,Suffern,TRUE,1726,1808,holiday,18,20 to 40
NJ TRANSIT - MBPJ,Otisville,FALSE,56,802,workday,8,20 to 40
NJ TRANSIT - RVL,Bridgewater,FALSE,5516,1123,holiday,11,20 to 40
NJ TRANSIT - MBPJ,Campbell Hall,FALSE,71,1052,holiday,10,20 to 40
NJ TRANSIT - RVL,NPS,TRUE,5749,1935,workday,19,20 to 40
NJ TRANSIT - MBPJ,Middletown,FALSE,56,813,workday,8,20 to 40
NJ TRANSIT - PVL,Spring Valley,TRUE,2114,1403,holiday,14,20 to 40
NJ TRANSIT - RVL,Annandale,FALSE,5718,645,workday,6,60+
NJ TRANSIT - NEC,Trenton,TRUE,3882,2109,workday,21,20 to 40
NJ TRANSIT - MBPJ,Port Jervis,FALSE,46,503,workday,5,40 to 60
NJ TRANSIT - RVL,Fanwood,TRUE,5743,1848,workday,18,40 to 60
NJ TRANSIT - MOBO,Dover,FALSE,1074,855,workday,8,40 to 60
NJ TRANSIT - RVL,High Bridge,FALSE,5714,612,workday,6,40 to 60
NJ TRANSIT - RVL,Lebanon,FALSE,5718,649,workday,6,40 to 60
NJ TRANSIT - PVL,Wood-Ridge,TRUE,1627,1722,workday,17,40 to 60
NJ TRANSIT - ME,Newark Broad St.,FALSE,6317,940,workday,9,40 to 60
NJ TRANSIT - RVL,Roselle Park,FALSE,5730,1031,workday,10,40 to 60
NJ TRANSIT - RVL,Cranford,FALSE,5714,714,workday,7,40 to 60
